Freq[Hz]     dBSPL  Phase[Deg]
3272.31     86.995     2.329
3319.91     86.866     0.911
3368.20     86.608    -0.356
3417.19     86.239    -1.215
3466.89     85.822    -1.495
3517.32     85.411    -1.156
3568.48     85.062    -0.269
3620.39     84.790     0.994
3673.05     84.561     2.504
3726.47     84.361     4.197
3780.67     84.202     6.022
3835.67     84.110     7.897
3891.46     84.095     9.696
3948.06     84.126    11.321
4005.49     84.157    12.769
4063.75     84.161    14.120
4122.86     84.162    15.446
4182.82     84.183    16.774
4243.66     84.236    18.090
4305.39     84.305    19.365
4368.01     84.370    20.597
4431.55     84.435    21.807
4496.01     84.518    23.000
4561.40     84.630    24.154
4627.75     84.768    25.220
4695.06     84.917    26.159
4763.35     85.068    26.968
4832.64     85.219    27.663
4902.93     85.369    28.257
4974.24     85.520    28.756
5046.60     85.671    29.159
5120.00     85.821    29.463
5194.47     85.965    29.666
5270.03     86.094    29.791
5346.68     86.204    29.880
5424.45     86.294    29.976
5503.35     86.357    30.149
5583.40     86.416    30.443
5664.61     86.490    30.836
5747.01     86.594    31.278
5830.60     86.736    31.698
5915.41     86.906    32.017
6001.45     87.085    32.192
6088.74     87.266    32.220
6177.30     87.447    32.113
6267.15     87.628    31.888
6358.31     87.809    31.568
6450.80     87.991    31.161
6544.62     88.181    30.647
6639.82     88.412    29.920
6736.40     88.725    28.728
6834.38     89.106    26.771
6933.79     89.530    23.755
7034.64     89.917    19.589
7136.96     90.131    14.480
7240.77     89.998     8.995
7346.09     89.362     3.976
7452.94     88.215     0.093
7561.35     86.598    -1.790
7671.33     84.766    -0.410
7782.91     83.373     4.573
7896.12     82.660    11.713
8010.97     82.461    18.937
8127.49     82.543    24.896
8245.71     82.640    29.916
8365.65     82.570    34.933
8487.33     82.383    40.956
8610.78     82.516    48.149
8736.03     83.376    54.873
8863.09     84.663    59.174
8992.01     85.931    60.695
9122.80     86.976    60.039
9255.50     87.738    58.011
9390.12     88.257    55.329
9526.70     88.591    52.460
9665.27     88.777    49.642
9805.86     88.850    47.008
9948.49     88.836    44.626
10093.2     88.745    42.563
10240.0     88.571    40.915
10388.9     88.295    39.848
10540.1     87.919    39.624
10693.4     87.524    40.421
10848.9     87.261    42.065
11006.7     87.254    43.989
11166.8     87.545    45.394
11329.2     87.944    45.718
11494.0     88.222    45.031
11661.2     88.276    43.742
11830.8     88.080    42.348
12002.9     87.662    41.406
12177.5     87.108    41.412
12354.6     86.486    42.709
12534.3     85.836    45.606
12716.6     85.241    50.384
12901.6     84.858    57.045
13089.2     84.868    65.057
13279.6     85.369    73.108
13472.8     86.327    79.849
13668.8     87.563    84.441
13867.6     88.830    86.834
14069.3     90.110    87.322
14273.9     91.370    86.058
14481.5     92.504    83.322
14692.2     93.490    79.437
14905.9     94.290    74.613
15122.7     94.844    69.151
15342.7     95.138    63.442
15565.8     95.179    57.791
15792.2     94.987    52.448
16021.9     94.615    47.615
16255.0     94.137    43.456
16491.4     93.601    40.041
16731.3     92.958    37.577
16974.7     92.118    36.525
17221.6     91.151    37.305
17472.1     90.261    40.082
17726.2     89.789    44.262
17984.0     89.821    48.551
18245.6     90.120    51.853
18511.0     90.355    53.939
18780.2     90.496    55.317
19053.4     90.623    56.423
19330.5     90.747    57.419
19611.7     90.870    58.355
19897.0     90.993    59.217
20186.4     91.117    60.015
20480.0     91.240    60.756
20777.9     91.363    61.448
21080.1     91.487    62.098
21386.7     91.610    62.710
21697.8     91.734    63.290
22013.4     91.857    63.842
22333.6     91.980    64.367
22658.4     92.104    64.869
22988.0     92.227    65.351
23322.4     92.350    65.813
23661.6     92.474    66.258
24005.8     92.597    66.687
24355.0     92.720    67.101
24709.2     92.844    67.502
25068.6     92.967    67.890
25433.2     93.091    68.266
25803.2     93.214    68.630
26178.5     93.337    68.985
26559.3     93.461    69.329
26945.6     93.584    69.665
27337.5     93.707    69.991
27735.2     93.831    70.310
28138.6     93.954    70.620
28547.9     94.078    70.924
28963.1     94.201    71.219
29384.4     94.324    71.508
29811.8     94.448    71.791
30245.4     94.571    72.067
30685.3     94.694    72.337
31131.7     94.818    72.602
31584.5     94.941    72.861
32043.9     95.064    73.115
32510.0     95.188    73.363
32982.8     95.311    73.607
33462.6     95.435    73.846
33949.3     95.558    74.080
34443.1     95.681    74.309
34944.1     95.805    74.535
35452.4     95.928    74.756
35968.0     96.051    74.974
36491.2     96.175    75.187
37022.0     96.298    75.397
37560.5     96.422    75.606
38106.8     96.543    75.793
38661.1     96.659    75.965
39223.4     96.745    76.094
39793.9     96.804    76.192
