Freq[Hz]     dBSPL  Phase[Deg]
6088.74     87.720     8.587
6177.30     87.522     8.089
6267.15     87.277     7.935
6358.31     87.021     8.207
6450.80     86.780     8.955
6544.62     86.556    10.227
6639.82     86.388    11.987
6736.40     86.353    13.968
6834.38     86.488    15.768
6933.79     86.788    16.976
7034.64     87.131    17.353
7136.96     87.377    17.021
7240.77     87.457    16.358
7346.09     87.348    15.862
7452.94     87.114    15.985
7561.35     86.883    16.909
7671.33     86.810    18.434
7782.91     86.976    20.021
7896.12     87.297    21.124
8010.97     87.632    21.524
8127.49     87.894    21.291
8245.71     88.051    20.668
8365.65     88.128    19.927
8487.33     88.159    19.235
8610.78     88.145    18.691
8736.03     88.101    18.363
8863.09     88.039    18.283
8992.01     87.968    18.486
9122.80     87.925    18.951
9255.50     87.930    19.588
9390.12     87.987    20.299
9526.70     88.107    20.952
9665.27     88.275    21.402
9805.86     88.474    21.563
9948.49     88.696    21.373
10093.2     88.909    20.820
10240.0     89.082    19.958
10388.9     89.207    18.858
10540.1     89.267    17.613
10693.4     89.277    16.316
10848.9     89.247    15.012
11006.7     89.161    13.777
11166.8     89.022    12.704
11329.2     88.819    11.882
11494.0     88.562    11.422
11661.2     88.296    11.379
11830.8     88.050    11.733
12002.9     87.856    12.394
12177.5     87.716    13.214
12354.6     87.606    14.092
12534.3     87.510    14.992
12716.6     87.401    15.951
12901.6     87.283    17.042
13089.2     87.161    18.339
13279.6     87.051    19.910
13472.8     86.973    21.782
13668.8     86.946    23.918
13867.6     86.997    26.218
14069.3     87.151    28.517
14273.9     87.401    30.629
14481.5     87.724    32.397
14692.2     88.099    33.708
14905.9     88.511    34.487
15122.7     88.935    34.726
15342.7     89.341    34.470
15565.8     89.697    33.798
15792.2     89.989    32.816
16021.9     90.239    31.590
16255.0     90.453    30.159
16491.4     90.633    28.556
16731.3     90.758    26.812
16974.7     90.792    25.041
17221.6     90.717    23.429
17472.1     90.529    22.201
17726.2     90.281    21.526
17984.0     90.063    21.403
18245.6     89.919    21.714
18511.0     89.882    22.246
18780.2     89.907    22.752
19053.4     89.942    23.132
19330.5     89.979    23.396
19611.7     90.016    23.579
19897.0     90.053    23.718
20186.4     90.090    23.829
20480.0     90.127    23.920
20777.9     90.164    23.999
21080.1     90.201    24.067
21386.7     90.238    24.127
21697.8     90.275    24.181
22013.4     90.312    24.230
22333.6     90.349    24.276
22658.4     90.386    24.319
22988.0     90.423    24.359
23322.4     90.460    24.397
23661.6     90.498    24.433
24005.8     90.535    24.467
24355.0     90.572    24.501
24709.2     90.609    24.533
25068.6     90.646    24.564
25433.2     90.683    24.594
25803.2     90.720    24.623
26178.5     90.757    24.652
26559.3     90.794    24.680
26945.6     90.831    24.708
27337.5     90.868    24.735
27735.2     90.905    24.761
28138.6     90.942    24.787
28547.9     90.979    24.813
28963.1     91.016    24.838
29384.4     91.053    24.862
29811.8     91.090    24.887
30245.4     91.127    24.911
30685.3     91.164    24.934
31131.7     91.201    24.957
31584.5     91.238    24.980
32043.9     91.275    25.003
32510.0     91.312    25.025
32982.8     91.349    25.047
33462.6     91.387    25.069
33949.3     91.424    25.091
34443.1     91.461    25.112
34944.1     91.498    25.133
35452.4     91.535    25.154
35968.0     91.572    25.174
36491.2     91.609    25.195
37022.0     91.646    25.215
37560.5     91.683    25.236
38106.8     91.719    25.255
38661.1     91.754    25.273
39223.4     91.780    25.288
39793.9     91.798    25.299
